Round,RunningTimeConstruction,RunningTimeFinding,RunningTimeDeleting,RunningTimeInserting,MaxHeight
1,14001,12,14996,15020,10
2,14001,13,14996,15025,10
3,14001,16,14996,15024,10
4,14001,10,14996,15022,10
5,14001,13,14996,15023,10
6,14001,15,14996,15023,10
7,14001,13,14996,15025,10
8,14001,9,14996,15023,10
9,14001,13,14996,15023,10
10,14001,14,14996,15024,10
11,14001,12,14996,15022,10
12,14001,13,14996,15025,10
13,14001,13,14996,15021,10
14,14001,12,14996,15020,10
15,14001,10,14996,15020,10
16,14001,14,14996,15022,10
17,14001,12,14996,15024,10
18,14001,14,14996,15024,10
19,14001,14,14996,15024,10
20,14001,15,14996,15025,10
21,14001,18,14996,15026,10
22,14001,13,14996,15023,10
23,14001,15,14996,15023,10
24,14001,13,14996,15021,10
25,14001,15,14996,15025,10
26,14001,13,14996,15021,10
27,14001,15,14996,15025,10
28,14001,11,14996,15023,10
29,14001,10,14996,15026,10
30,14001,15,14996,15023,10
31,14001,8,14996,15026,10
32,14001,11,14996,15021,10
33,14001,16,14996,15024,10
34,14001,9,14996,15021,10
35,14001,9,14996,15023,10
36,14001,14,14996,15024,10
37,14001,10,14996,15024,10
38,14001,15,14996,15023,10
39,14001,15,14996,15023,10
40,14001,16,14996,15024,10
41,14001,14,14996,15022,10
42,14001,15,14996,15023,10
43,14001,16,14996,15024,10
44,14001,14,14996,15024,10
45,14001,14,14996,15022,10
46,14001,15,14996,15023,10
47,14001,16,14996,15024,10
48,14001,13,14996,15021,10
49,14001,7,14996,15023,10
50,14001,12,14996,15022,10
51,14001,13,14996,15025,10
52,14001,9,14996,15027,10
53,14001,15,14996,15023,10
54,14001,15,14996,15023,10
55,14001,15,14996,15023,10
56,14001,10,14996,15020,10
57,14001,14,14996,15024,10
58,14001,4,14996,15026,10
59,14001,5,14996,15027,10
60,14001,12,14996,15022,10
61,14001,13,14996,15021,10
62,14001,16,14996,15024,10
63,14001,9,14996,15021,10
64,14001,14,14996,15022,10
65,14001,12,14996,15020,10
66,14001,10,14996,15024,10
67,14001,14,14996,15022,10
68,14001,8,14996,15024,10
69,14001,14,14996,15022,10
70,14001,13,14996,15021,10
71,14001,12,14996,15024,10
72,14001,11,14996,15023,10
73,14001,11,14996,15023,10
74,14001,9,14996,15019,10
75,14001,13,14996,15021,10
76,14001,13,14996,15021,10
77,14001,11,14996,15023,10
78,14001,13,14996,15021,10
79,14001,11,14996,15021,10
80,14001,13,14996,15021,10
81,14001,14,14996,15026,10
82,14001,15,14996,15023,10
83,14001,14,14996,15022,10
84,14001,15,14996,15025,10
85,14001,14,14996,15022,10
86,14001,14,14996,15024,10
87,14001,12,14996,15024,10
88,14001,17,14996,15025,10
89,14001,11,14996,15025,10
90,14001,11,14996,15023,10
91,14001,10,14996,15022,10
92,14001,13,14996,15023,10
93,14001,9,14996,15025,10
94,14001,11,14996,15025,10
95,14001,14,14996,15026,10
96,14001,13,14996,15025,10
97,14001,16,14996,15024,10
98,14001,14,14996,15024,10
99,14001,15,14996,15023,10
100,14001,12,14996,15022,10
